id,season,city,match_type,player_of_match,team1,team2,winner,result_margin,target_runs,super_over
779,2021,Ahmedabad,League,MA Agarwal,Punjab Kings,Delhi Capitals,Delhi Capitals,7,167,N
780,2021,Dubai,League,RD Gaikwad,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,20,157,N
781,2021,Abu Dhabi,League,CV Varun,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,9,93,N
782,2021,Dubai,League,Kartik Tyagi,Rajasthan Royals,Punjab Kings,Rajasthan Royals,2,186,N
783,2021,Dubai,League,A Nortje,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,8,135,N
784,2021,Abu Dhabi,League,SP Narine,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,7,156,N
785,2021,Sharjah,League,DJ Bravo,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,6,157,N
786,2021,Abu Dhabi,League,SS Iyer,Delhi Capitals,Rajasthan Royals,Delhi Capitals,33,155,N
787,2021,Sharjah,League,JO Holder,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,5,126,N
788,2021,Abu Dhabi,League,RA Jadeja,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,2,172,N
789,2021,Dubai,League,GJ Maxwell,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,54,166,N
790,2021,Dubai,League,JJ Roy,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,7,165,N
791,2021,Sharjah,League,SP Narine,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,3,128,N
792,2021,Abu Dhabi,League,KA Pollard,Punjab Kings,Mumbai Indians,Mumbai Indians,6,136,N
793,2021,Dubai,League,YS Chahal,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,7,150,N
794,2021,Sharjah,League,JR Hazlewood,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,6,135,N
795,2021,Dubai,League,KL Rahul,Kolkata Knight Riders,Punjab Kings,Punjab Kings,5,166,N
796,2021,Abu Dhabi,League,RD Gaikwad,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,7,190,N
797,2021,Sharjah,League,AR Patel,Mumbai Indians,Delhi Capitals,Delhi Capitals,4,130,N
798,2021,Sharjah,League,GJ Maxwell,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,6,165,N
799,2021,Dubai,League,Shubman Gill,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,6,116,N
800,2021,Dubai,League,AR Patel,Chennai Super Kings,Delhi Capitals,Delhi Capitals,3,137,N
801,2021,Sharjah,League,NM Coulter-Nile,Rajasthan Royals,Mumbai Indians,Mumbai Indians,8,91,N
802,2021,Abu Dhabi,League,KS Williamson,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,4,142,N
803,2021,Dubai,League,KL Rahul,Chennai Super Kings,Punjab Kings,Punjab Kings,6,135,N
804,2021,Sharjah,League,Shivam Mavi,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,86,172,N
805,2021,Abu Dhabi,League,Ishan Kishan,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,42,236,N
806,2021,Dubai,League,KS Bharat,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,7,165,N
807,2021,Dubai,Qualifier 1,RD Gaikwad,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,4,173,N
808,2021,Sharjah,Eliminator,SP Narine,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,4,139,N
809,2021,Sharjah,Qualifier 2,VR Iyer,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,3,136,N
810,2021,Dubai,Final,F du Plessis,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,27,193,N
811,2022,Mumbai,League,UT Yadav,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,6,132,N
812,2022,Mumbai,League,Kuldeep Yadav,Mumbai Indians,Delhi Capitals,Delhi Capitals,4,178,N
813,2022,Mumbai,League,OF Smith,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,5,206,N
814,2022,Mumbai,League,Mohammed Shami,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,5,159,N
815,2022,Pune,League,SV Samson,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,61,211,N
816,2022,Mumbai,League,PWH de Silva,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,3,129,N
817,2022,Mumbai,League,E Lewis,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,6,211,N
818,2022,Mumbai,League,UT Yadav,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,6,138,N
819,2022,Mumbai,League,JC Buttler,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,23,194,N
820,2022,Pune,League,LH Ferguson,Gujarat Titans,Delhi Capitals,Gujarat Titans,14,172,N
821,2022,Mumbai,League,LS Livingstone,Punjab Kings,Chennai Super Kings,Punjab Kings,54,181,N
822,2022,Mumbai,League,Avesh Khan,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,12,170,N
823,2022,Mumbai,League,KD Karthik,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,4,170,N
824,2022,Pune,League,PJ Cummins,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,5,162,N
825,2022,Mumbai,League,Q de Kock,Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,6,150,N
826,2022,Mumbai,League,Shubman Gill,Punjab Kings,Gujarat Titans,Gujarat Titans,6,190,N
827,2022,Mumbai,League,Abhishek Sharma,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,8,155,N
828,2022,Pune,League,Anuj Rawat,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,7,152,N
829,2022,Mumbai,League,Kuldeep Yadav,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,44,216,N
830,2022,Mumbai,League,YS Chahal,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,3,166,N
831,2022,Mumbai,League,KS Williamson,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,8,163,N
832,2022,Mumbai,League,S Dube,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,23,217,N
833,2022,Pune,League,MA Agarwal,Punjab Kings,Mumbai Indians,Punjab Kings,12,199,N
834,2022,Mumbai,League,HH Pandya,Gujarat Titans,Rajasthan Royals,Gujarat Titans,37,193,N
835,2022,Mumbai,League,RA Tripathi,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,7,176,N
836,2022,Mumbai,League,KL Rahul,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,18,200,N
837,2022,Mumbai,League,KD Karthik,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,16,190,N
838,2022,Mumbai,League,Umran Malik,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,7,152,N
839,2022,Pune,League,DA Miller,Chennai Super Kings,Gujarat Titans,Gujarat Titans,3,170,N
840,2022,Mumbai,League,YS Chahal,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,7,218,N
841,2022,Mumbai,League,F du Plessis,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,18,182,N
842,2022,Mumbai,League,Kuldeep Yadav,Punjab Kings,Delhi Capitals,Delhi Capitals,9,116,N
843,2022,Navi Mumbai,League,Mukesh Choudhary,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,3,156,N
844,2022,Mumbai,League,JC Buttler,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,15,223,N
845,2022,Navi Mumbai,League,Rashid Khan,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,8,157,N
846,2022,Mumbai,League,M Jansen,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,9,69,N
847,2022,Mumbai,League,KL Rahul,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,36,169,N
848,2022,Mumbai,League,S Dhawan,Punjab Kings,Chennai Super Kings,Punjab Kings,11,188,N
849,2022,Pune,League,R Parag,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,29,145,N
850,2022,Mumbai,League,Umran Malik,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,5,196,N
851,2022,Mumbai,League,Kuldeep Yadav,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,4,147,N
852,2022,Pune,League,KH Pandya,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,20,154,N
853,2022,Mumbai,League,R Tewatia,Royal Challengers Bangalore,Gujarat Titans,Gujarat Titans,6,171,N
854,2022,Navi Mumbai,League,SA Yadav,Rajasthan Royals,Mumbai Indians,Mumbai Indians,5,159,N
855,2022,Mumbai,League,Mohsin Khan,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,6,196,N
856,2022,Pune,League,RD Gaikwad,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,13,203,N
857,2022,Mumbai,League,RK Singh,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,7,153,N
858,2022,Navi Mumbai,League,K Rabada,Gujarat Titans,Punjab Kings,Punjab Kings,8,144,N
859,2022,Pune,League,HV Patel,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,13,174,N
860,2022,Mumbai,League,DA Warner,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,21,208,N
861,2022,Mumbai,League,TH David,Mumbai Indians,Gujarat Titans,Mumbai Indians,5,178,N
862,2022,Mumbai,League,YBK Jaiswal,Punjab Kings,Rajasthan Royals,Rajasthan Royals,6,190,N
863,2022,Pune,League,Avesh Khan,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,75,177,N
864,2022,Mumbai,League,PWH de Silva,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,67,193,N
865,2022,Navi Mumbai,League,DP Conway,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,91,209,N
866,2022,Navi Mumbai,League,JJ Bumrah,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,52,166,N
867,2022,Pune,League,Shubman Gill,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,62,145,N
868,2022,Navi Mumbai,League,MR Marsh,Rajasthan Royals,Delhi Capitals,Delhi Capitals,8,161,N
869,2022,Mumbai,League,DR Sams,Chennai Super Kings,Mumbai Indians,Mumbai Indians,5,98,N
870,2022,Mumbai,League,JM Bairstow,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,54,210,N
871,2022,Pune,League,AD Russell,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,54,178,N
872,2022,Mumbai,League,WP Saha,Chennai Super Kings,Gujarat Titans,Gujarat Titans,7,134,N
873,2022,Mumbai,League,TA Boult,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,24,179,N
874,2022,Navi Mumbai,League,SN Thakur,Delhi Capitals,Punjab Kings,Delhi Capitals,17,160,N
875,2022,Mumbai,League,RA Tripathi,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,3,194,N
876,2022,Navi Mumbai,League,Q de Kock,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,2,211,N
877,2022,Mumbai,League,V Kohli,Gujarat Titans,Royal Challengers Bangalore,Royal Challengers Bangalore,8,169,N
878,2022,Mumbai,League,R Ashwin,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,5,151,N
879,2022,Mumbai,League,JJ Bumrah,Delhi Capitals,Mumbai Indians,Mumbai Indians,5,160,N
880,2022,Mumbai,League,Harpreet Brar,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,5,158,N
881,2022,Kolkata,Qualifier 1,DA Miller,Rajasthan Royals,Gujarat Titans,Gujarat Titans,7,189,N
882,2022,Kolkata,Eliminator,RM Patidar,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,14,208,N
883,2022,Ahmedabad,Qualifier 2,JC Buttler,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,7,158,N
884,2022,Ahmedabad,Final,HH Pandya,Rajasthan Royals,Gujarat Titans,Gujarat Titans,7,131,N
885,2023,Ahmedabad,League,Rashid Khan,Chennai Super Kings,Gujarat Titans,Gujarat Titans,5,179,N
886,2023,Chandigarh,League,Arshdeep Singh,Punjab Kings,Kolkata Knight Riders,Punjab Kings,7,154,N
887,2023,Lucknow,League,MA Wood,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,50,194,N
888,2023,Hyderabad,League,JC Buttler,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,72,204,N
889,2023,Bengaluru,League,F du Plessis,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,8,172,N
890,2023,Chennai,League,MM Ali,Chennai Super Kings,Lucknow Super Giants,Chennai Super Kings,12,218,N
891,2023,Delhi,League,B Sai Sudharsan,Delhi Capitals,Gujarat Titans,Gujarat Titans,6,163,N
892,2023,Guwahati,League,NT Ellis,Punjab Kings,Rajasthan Royals,Punjab Kings,5,198,N
893,2023,Kolkata,League,SN Thakur,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,81,205,N
894,2023,Lucknow,League,KH Pandya,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,5,122,N
895,2023,Guwahati,League,YBK Jaiswal,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,57,200,N
896,2023,Mumbai,League,RA Jadeja,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,7,158,N
897,2023,Ahmedabad,League,RK Singh,Gujarat Titans,Kolkata Knight Riders,Kolkata Knight Riders,3,205,N
898,2023,Hyderabad,League,S Dhawan,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,8,144,N
899,2023,Bengaluru,League,N Pooran,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,1,213,N
900,2023,Delhi,League,RG Sharma,Delhi Capitals,Mumbai Indians,Mumbai Indians,6,173,N
901,2023,Chennai,League,R Ashwin,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,3,176,N
902,2023,Chandigarh,League,MM Sharma,Punjab Kings,Gujarat Titans,Gujarat Titans,6,154,N
903,2023,Kolkata,League,HC Brook,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,23,229,N
904,2023,Bengaluru,League,V Kohli,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,23,175,N
905,2023,Lucknow,League,Sikandar Raza,Lucknow Super Giants,Punjab Kings,Punjab Kings,2,160,N
906,2023,Mumbai,League,VR Iyer,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,5,186,N
907,2023,Ahmedabad,League,SO Hetmyer,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,3,178,N
908,2023,Bengaluru,League,DP Conway,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,8,227,N
909,2023,Hyderabad,League,C Green,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,14,193,N
910,2023,Jaipur,League,MP Stoinis,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,10,155,N
911,2023,Chandigarh,League,Mohammed Siraj,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,24,175,N
912,2023,Delhi,League,I Sharma,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,4,128,N
913,2023,Chennai,League,RA Jadeja,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,7,135,N
914,2023,Lucknow,League,MM Sharma,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,7,136,N
915,2023,Mumbai,League,SM Curran,Punjab Kings,Mumbai Indians,Punjab Kings,13,215,N
916,2023,Bengaluru,League,GJ Maxwell,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,7,190,N
917,2023,Kolkata,League,AM Rahane,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,49,236,N
918,2023,Hyderabad,League,AR Patel,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,7,145,N
919,2023,Ahmedabad,League,A Manohar,Gujarat Titans,Mumbai Indians,Gujarat Titans,55,208,N
920,2023,Bengaluru,League,CV Varun,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,21,201,N
921,2023,Jaipur,League,YBK Jaiswal,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,32,203,N
922,2023,Chandigarh,League,MP Stoinis,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,56,258,N
923,2023,Kolkata,League,J Little,Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,7,180,N
924,2023,Delhi,League,MR Marsh,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,9,198,N
925,2023,Chennai,League,DP Conway,Chennai Super Kings,Punjab Kings,Punjab Kings,4,201,N
926,2023,Mumbai,League,YBK Jaiswal,Rajasthan Royals,Mumbai Indians,Mumbai Indians,6,213,N
927,2023,Lucknow,League,F du Plessis,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,18,127,N
928,2023,Ahmedabad,League,Mohammed Shami,Delhi Capitals,Gujarat Titans,Delhi Capitals,5,131,N
929,2023,Chandigarh,League,Ishan Kishan,Punjab Kings,Mumbai Indians,Mumbai Indians,6,215,N
930,2023,Hyderabad,League,CV Varun,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,5,172,N
931,2023,Jaipur,League,Rashid Khan,Rajasthan Royals,Gujarat Titans,Gujarat Titans,9,119,N
932,2023,Chennai,League,M Pathirana,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,6,140,N
933,2023,Delhi,League,PD Salt,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,7,182,N
934,2023,Ahmedabad,League,Shubman Gill,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,56,228,N
935,2023,Jaipur,League,GD Phillips,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,4,215,N
936,2023,Kolkata,League,AD Russell,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,5,180,N
937,2023,Mumbai,League,SA Yadav,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,6,200,N
938,2023,Chennai,League,RA Jadeja,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,27,168,N
939,2023,Kolkata,League,YBK Jaiswal,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,9,150,N
940,2023,Mumbai,League,SA Yadav,Mumbai Indians,Gujarat Titans,Mumbai Indians,27,219,N
941,2023,Hyderabad,League,PN Mankad,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,7,183,N
942,2023,Delhi,League,P Simran Singh,Punjab Kings,Delhi Capitals,Punjab Kings,31,168,N
943,2023,Jaipur,League,WD Parnell,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,112,172,N
944,2023,Chennai,League,RK Singh,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,6,145,N
945,2023,Ahmedabad,League,Shubman Gill,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,34,189,N
946,2023,Lucknow,League,MP Stoinis,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,5,178,N
947,2023,Dharamsala,League,RR Rossouw,Delhi Capitals,Punjab Kings,Delhi Capitals,15,214,N
948,2023,Hyderabad,League,V Kohli,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,8,187,N
949,2023,Dharamsala,League,D Padikkal,Punjab Kings,Rajasthan Royals,Rajasthan Royals,4,188,N
950,2023,Delhi,League,RD Gaikwad,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,77,224,N
951,2023,Kolkata,League,N Pooran,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,1,177,N
952,2023,Mumbai,League,C Green,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,8,201,N
953,2023,Bengaluru,League,Shubman Gill,Royal Challengers Bangalore,Gujarat Titans,Gujarat Titans,6,198,N
954,2023,Chennai,Qualifier 1,RD Gaikwad,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,15,173,N
955,2023,Chennai,Eliminator,Akash Madhwal,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,81,183,N
956,2023,Ahmedabad,Qualifier 2,Shubman Gill,Gujarat Titans,Mumbai Indians,Gujarat Titans,62,234,N
957,2023,Ahmedabad,Final,DP Conway,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,5,171,N
958,2024,Chennai,League,Mustafizur Rahman,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,6,174,N
959,2024,Mohali,League,SM Curran,Delhi Capitals,Punjab Kings,Punjab Kings,4,175,N
960,2024,Kolkata,League,AD Russell,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,4,209,N
961,2024,Jaipur,League,SV Samson,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,20,194,N
962,2024,Ahmedabad,League,B Sai Sudharsan,Gujarat Titans,Mumbai Indians,Gujarat Titans,6,169,N
963,2024,Bengaluru,League,V Kohli,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,4,177,N
964,2024,Chennai,League,S Dube,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,63,207,N
965,2024,Hyderabad,League,Abhishek Sharma,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,31,278,N
966,2024,Jaipur,League,R Parag,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,12,186,N
967,2024,Bengaluru,League,SP Narine,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,7,183,N
968,2024,Lucknow,League,MP Yadav,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,21,200,N
969,2024,Ahmedabad,League,MM Sharma,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,7,163,N
970,2024,Visakhapatnam,League,KK Ahmed,Delhi Capitals,Chennai Super Kings,Delhi Capitals,20,192,N
971,2024,Mumbai,League,TA Boult,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,6,126,N
972,2024,Bengaluru,League,MP Yadav,Lucknow Super Giants,Royal Challengers Bangalore,Lucknow Super Giants,28,182,N
973,2024,Visakhapatnam,League,SP Narine,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,106,273,N
974,2024,Ahmedabad,League,Shashank Singh,Gujarat Titans,Punjab Kings,Punjab Kings,3,200,N
975,2024,Hyderabad,League,Abhishek Sharma,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,6,166,N
976,2024,Jaipur,League,JC Buttler,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,6,184,N
977,2024,Mumbai,League,R Shepherd,Mumbai Indians,Delhi Capitals,Mumbai Indians,29,235,N
978,2024,Lucknow,League,Yash Thakur,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,33,164,N
979,2024,Chennai,League,RA Jadeja,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,7,138,N
980,2024,Mohali,League,Nithish Kumar Reddy,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,2,183,N
981,2024,Jaipur,League,Rashid Khan,Rajasthan Royals,Gujarat Titans,Gujarat Titans,3,197,N
982,2024,Mumbai,League,JJ Bumrah,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,7,197,N
983,2024,Lucknow,League,Kuldeep Yadav,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,6,168,N
984,2024,Mohali,League,SO Hetmyer,Punjab Kings,Rajasthan Royals,Rajasthan Royals,3,148,N
985,2024,Kolkata,League,PD Salt,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,8,162,N
986,2024,Mumbai,League,M Pathirana,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,20,207,N
987,2024,Bengaluru,League,TM Head,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,25,288,N
988,2024,Kolkata,League,JC Buttler,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,2,224,N
989,2024,Ahmedabad,League,RR Pant,Gujarat Titans,Delhi Capitals,Delhi Capitals,6,90,N
990,2024,Mohali,League,JJ Bumrah,Mumbai Indians,Punjab Kings,Mumbai Indians,9,193,N
991,2024,Lucknow,League,KL Rahul,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,8,177,N
992,2024,Delhi,League,TM Head,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,67,267,N
993,2024,Kolkata,League,AD Russell,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,1,223,N
994,2024,Mohali,League,R Sai Kishore,Punjab Kings,Gujarat Titans,Gujarat Titans,3,143,N
995,2024,Jaipur,League,Sandeep Sharma,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,9,180,N
996,2024,Chennai,League,MP Stoinis,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,6,211,N
997,2024,Delhi,League,RR Pant,Delhi Capitals,Gujarat Titans,Delhi Capitals,4,225,N
998,2024,Hyderabad,League,RM Patidar,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,35,207,N
999,2024,Kolkata,League,JM Bairstow,Kolkata Knight Riders,Punjab Kings,Punjab Kings,8,262,N
1000,2024,Delhi,League,J Fraser-McGurk,Delhi Capitals,Mumbai Indians,Delhi Capitals,10,258,N
1001,2024,Lucknow,League,SV Samson,Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,7,197,N
1002,2024,Ahmedabad,League,WG Jacks,Gujarat Titans,Royal Challengers Bangalore,Royal Challengers Bangalore,9,201,N
1003,2024,Chennai,League,RD Gaikwad,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,78,213,N
1004,2024,Kolkata,League,CV Varun,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,7,154,N
1005,2024,Lucknow,League,MP Stoinis,Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,4,145,N
1006,2024,Chennai,League,Harpreet Brar,Chennai Super Kings,Punjab Kings,Punjab Kings,7,163,N
1007,2024,Hyderabad,League,B Kumar,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,1,202,N
1008,2024,Mumbai,League,VR Iyer,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,24,170,N
1009,2024,Bengaluru,League,Mohammed Siraj,Gujarat Titans,Royal Challengers Bangalore,Royal Challengers Bangalore,4,148,N
1010,2024,Dharamsala,League,RA Jadeja,Chennai Super Kings,Punjab Kings,Chennai Super Kings,28,168,N
1011,2024,Lucknow,League,SP Narine,Kolkata Knight Riders,Lucknow Super Giants,Kolkata Knight Riders,98,236,N
1012,2024,Mumbai,League,SA Yadav,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,7,174,N
1013,2024,Delhi,League,Kuldeep Yadav,Delhi Capitals,Rajasthan Royals,Delhi Capitals,20,222,N
1014,2024,Hyderabad,League,TM Head,Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,10,166,N
1015,2024,Dharamsala,League,V Kohli,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,60,242,N
1016,2024,Ahmedabad,League,Shubman Gill,Gujarat Titans,Chennai Super Kings,Gujarat Titans,35,232,N
1017,2024,Kolkata,League,CV Varun,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,18,158,N
