id,season,city,match_type,player_of_match,team1,team2,winner,result_margin,target_runs,super_over
194,2011,Kolkata,League,DPMD Jayawardene,Kolkata Knight Riders,Kochi Tuskers Kerala,Kochi Tuskers Kerala,6,133,N
195,2011,Chandigarh,League,SE Marsh,Punjab Kings,Rajasthan Royals,Punjab Kings,48,196,N
196,2011,Mumbai,League,Harbhajan Singh,Mumbai Indians,Chennai Super Kings,Mumbai Indians,8,165,N
197,2011,Kolkata,League,CH Gayle,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,9,172,N
198,2011,Delhi,League,DA Warner,Delhi Capitals,Punjab Kings,Delhi Capitals,29,232,N
199,2011,Hyderabad,League,SL Malinga,Deccan Chargers,Mumbai Indians,Mumbai Indians,37,173,N
200,2011,Jaipur,League,SK Warne,Rajasthan Royals,Kochi Tuskers Kerala,Rajasthan Royals,8,110,N
201,2011,Chennai,League,MEK Hussey,Chennai Super Kings,Pune Warriors,Chennai Super Kings,25,143,N
202,2011,Delhi,League,V Kohli,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,3,161,N
203,2011,Mumbai,League,DE Bollinger,Pune Warriors,Chennai Super Kings,Chennai Super Kings,8,142,N
204,2011,Kochi,League,I Sharma,Kochi Tuskers Kerala,Deccan Chargers,Deccan Chargers,55,130,N
205,2011,Delhi,League,MK Tiwary,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,17,149,N
206,2011,Jaipur,League,J Botha,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,7,95,N
207,2011,Bangalore,League,V Kohli,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,26,182,N
208,2011,Kochi,League,V Sehwag,Kochi Tuskers Kerala,Delhi Capitals,Delhi Capitals,38,158,N
209,2011,Kolkata,League,Iqbal Abdulla,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,8,120,N
210,2011,Jaipur,League,LRPL Taylor,Rajasthan Royals,Pune Warriors,Rajasthan Royals,6,144,N
211,2011,Chennai,League,JA Morkel,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,19,166,N
212,2011,Mumbai,League,KA Pollard,Mumbai Indians,Punjab Kings,Mumbai Indians,23,160,N
213,2011,Delhi,League,P Parameswaran,Delhi Capitals,Kochi Tuskers Kerala,Kochi Tuskers Kerala,7,141,N
214,2011,Hyderabad,League,YK Pathan,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,20,170,N
215,2011,Chennai,League,MEK Hussey,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,8,148,N
216,2011,Mumbai,League,R Sharma,Pune Warriors,Mumbai Indians,Mumbai Indians,21,161,N
217,2011,Kochi,League,BJ Hodge,Kochi Tuskers Kerala,Kolkata Knight Riders,Kochi Tuskers Kerala,17,157,N
218,2011,Hyderabad,League,V Sehwag,Deccan Chargers,Delhi Capitals,Delhi Capitals,4,176,N
219,2011,Bangalore,League,CH Gayle,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,85,206,N
220,2011,Kolkata,League,Iqbal Abdulla,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,10,52,N
221,2011,Mumbai,League,AT Rayudu,Mumbai Indians,Delhi Capitals,Mumbai Indians,32,179,N
222,2011,Bangalore,League,CH Gayle,Royal Challengers Bangalore,Kochi Tuskers Kerala,Royal Challengers Bangalore,9,126,N
223,2011,Chandigarh,League,R Sharma,Punjab Kings,Pune Warriors,Pune Warriors,5,120,N
224,2011,Jaipur,League,M Vijay,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,63,197,N
225,2011,Hyderabad,League,MR Marsh,Deccan Chargers,Pune Warriors,Pune Warriors,6,137,N
226,2011,Chandigarh,League,BA Bhatt,Punjab Kings,Mumbai Indians,Punjab Kings,76,164,N
227,2011,Jaipur,League,S Aravind,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,9,147,N
228,2011,Chennai,League,MS Dhoni,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,18,177,N
229,2011,Indore,League,KD Karthik,Kochi Tuskers Kerala,Punjab Kings,Punjab Kings,6,179,N
230,2011,Bangalore,League,CH Gayle,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,4,102,N
231,2011,Mumbai,League,A Mishra,Mumbai Indians,Deccan Chargers,Deccan Chargers,10,136,N
232,2011,Dharamsala,League,PP Chawla,Punjab Kings,Delhi Capitals,Punjab Kings,29,171,N
233,2011,Indore,League,BJ Hodge,Kochi Tuskers Kerala,Rajasthan Royals,Kochi Tuskers Kerala,8,98,N
234,2011,Mumbai,League,A Mishra,Pune Warriors,Deccan Chargers,Deccan Chargers,6,137,N
235,2011,Dharamsala,League,AC Gilchrist,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,111,233,N
236,2011,Chennai,League,WP Saha,Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings,11,153,N
237,2011,Mumbai,League,YK Pathan,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,7,119,N
238,2011,Mumbai,League,SR Watson,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,10,134,N
239,2011,Dharamsala,League,S Dhawan,Punjab Kings,Deccan Chargers,Deccan Chargers,82,199,N
240,2011,Bangalore,League,CH Gayle,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,8,129,N
241,2011,Kolkata,League,JEC Franklin,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,5,176,N
242,2011,Mumbai,Qualifier 1,SK Raina,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,6,176,N
243,2011,Mumbai,Elimination Final,MM Patel,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,4,148,N
244,2011,Chennai,Qualifier 2,CH Gayle,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,43,186,N
245,2011,Chennai,Final,M Vijay,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,58,206,N
246,2012,Chennai,League,RE Levi,Chennai Super Kings,Mumbai Indians,Mumbai Indians,8,113,N
247,2012,Kolkata,League,IK Pathan,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,8,98,N
248,2012,Mumbai,League,SPD Smith,Mumbai Indians,Pune Warriors,Pune Warriors,28,130,N
249,2012,Jaipur,League,AM Rahane,Rajasthan Royals,Punjab Kings,Rajasthan Royals,31,192,N
250,2012,Bangalore,League,AB de Villiers,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,20,158,N
251,2012,Visakhapatnam,League,RA Jadeja,Deccan Chargers,Chennai Super Kings,Chennai Super Kings,74,194,N
252,2012,Jaipur,League,BJ Hodge,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,22,165,N
253,2012,Pune,League,MN Samuels,Pune Warriors,Punjab Kings,Pune Warriors,22,167,N
254,2012,Visakhapatnam,League,RG Sharma,Deccan Chargers,Mumbai Indians,Mumbai Indians,5,139,N
255,2012,Bangalore,League,L Balaji,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,42,166,N
256,2012,Delhi,League,M Morkel,Delhi Capitals,Chennai Super Kings,Delhi Capitals,8,111,N
257,2012,Mumbai,League,KA Pollard,Mumbai Indians,Rajasthan Royals,Mumbai Indians,27,198,N
258,2012,Chennai,League,F du Plessis,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,5,206,N
259,2012,Chandigarh,League,AD Mascarenhas,Punjab Kings,Pune Warriors,Punjab Kings,7,116,N
260,2012,Kolkata,League,Shakib Al Hasan,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,5,132,N
261,2012,Pune,League,JD Ryder,Pune Warriors,Chennai Super Kings,Pune Warriors,7,156,N
262,2012,Kolkata,League,SP Narine,Kolkata Knight Riders,Punjab Kings,Punjab Kings,2,135,N
263,2012,Bangalore,League,AM Rahane,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,59,196,N
